,index,Total:,    Population_of_one_race:,        White_alone,        Black_or_African_American_alone,        American_Indian_and_Alaska_Native_alone,        Asian_alone,        Native_Hawaiian_and_Other_Pacific_Islander_alone,        Some_Other_Race_alone,year
2495,"Perry County, Tennessee","7,915","7,795","7,584",119,48,14,0,30,2010
2496,"Perry County, Tennessee","8,366","8,074","7,748",199,47,26,1,53,2020
2496,"Pickett County, Tennessee","5,077","5,046","4,993",5,11,4,0,33,2010
2497,"Polk County, Tennessee","16,825","16,610","16,397",50,64,24,4,71,2010
2497,"Pickett County, Tennessee","5,001","4,902","4,829",8,8,15,1,41,2020
2498,"Putnam County, Tennessee","72,321","71,206","66,536","1,455",317,846,46,"2,006",2010
2498,"Polk County, Tennessee","17,544","16,719","16,430",62,67,33,10,117,2020
2499,"Rhea County, Tennessee","31,809","31,307","29,695",616,141,130,15,710,2010
2499,"Putnam County, Tennessee","79,854","75,273","67,940","2,188",707,"1,093",52,"3,293",2020
2500,"Rhea County, Tennessee","32,870","31,106","28,987",604,183,195,11,"1,126",2020
2500,"Roane County, Tennessee","54,181","53,292","51,157","1,440",180,278,18,219,2010
2501,"Roane County, Tennessee","53,404","50,735","48,463","1,303",204,342,21,402,2020
2501,"Robertson County, Tennessee","66,283","65,326","57,919","4,934",234,331,32,"1,876",2010
2502,"Robertson County, Tennessee","72,803","68,115","58,467","5,168",335,460,21,"3,664",2020
2502,"Rutherford County, Tennessee","262,604","256,310","205,417","32,886",954,"7,984",142,"8,927",2010
2503,"Scott County, Tennessee","22,228","22,031","21,853",21,57,43,1,56,2010
2503,"Rutherford County, Tennessee","341,486","314,490","226,227","53,977","1,739","12,538",254,"19,755",2020
2504,"Scott County, Tennessee","21,850","21,230","21,051",47,37,51,0,44,2020
2504,"Sequatchie County, Tennessee","14,112","13,937","13,543",21,53,40,5,275,2010
2505,"Sevier County, Tennessee","89,889","88,680","84,217",711,342,774,20,"2,616",2010
2505,"Sequatchie County, Tennessee","15,826","15,129","14,585",72,89,65,4,314,2020
2506,"Sevier County, Tennessee","98,380","92,356","85,656",812,454,"1,122",24,"4,288",2020
2506,"Shelby County, Tennessee","927,644","914,342","376,270","483,381","2,279","21,391",441,"30,580",2010
2507,"Smith County, Tennessee","19,166","18,908","18,179",410,87,37,3,192,2010
2507,"Shelby County, Tennessee","929,744","884,025","326,077","477,321","3,334","28,149",344,"48,800",2020
2508,"Smith County, Tennessee","19,904","18,928","18,192",364,92,84,0,196,2020
2508,"Stewart County, Tennessee","13,324","13,089","12,605",188,75,137,3,81,2010
2509,"Stewart County, Tennessee","13,657","12,914","12,463",172,78,77,2,122,2020
2509,"Sullivan County, Tennessee","156,823","154,829","149,208","3,329",416,884,34,958,2010
2510,"Sullivan County, Tennessee","158,163","150,959","144,395","3,254",423,"1,278",39,"1,570",2020
2510,"Sumner County, Tennessee","160,645","158,018","142,844","10,311",462,"1,638",114,"2,649",2010
2511,"Tipton County, Tennessee","61,081","60,077","47,501","11,449",248,367,52,460,2010
2511,"Sumner County, Tennessee","196,281","182,922","158,075","15,740",711,"2,956",119,"5,321",2020
2512,"Trousdale County, Tennessee","7,870","7,731","6,852",754,33,18,1,73,2010
2512,"Tipton County, Tennessee","60,970","57,583","45,400","10,860",223,393,40,667,2020
2513,"Unicoi County, Tennessee","18,313","18,111","17,553",36,45,30,3,444,2010
2513,"Trousdale County, Tennessee","11,615","11,067","8,883","1,922",30,27,0,205,2020
2514,"Union County, Tennessee","19,109","18,863","18,678",22,60,19,12,72,2010
2514,"Unicoi County, Tennessee","17,928","17,015","16,386",44,68,37,0,480,2020
2515,"Van Buren County, Tennessee","5,548","5,497","5,441",23,15,8,0,10,2010
2515,"Union County, Tennessee","19,802","19,092","18,770",53,33,38,7,191,2020
2516,"Van Buren County, Tennessee","6,168","5,940","5,890",22,7,10,1,10,2020
2516,"Warren County, Tennessee","39,839","39,185","35,650","1,142",109,190,13,"2,081",2010
2517,"Warren County, Tennessee","40,953","38,458","34,794","1,097",144,258,10,"2,155",2020
2517,"Washington County, Tennessee","122,979","120,848","112,619","4,814",377,"1,466",38,"1,534",2010
2518,"Washington County, Tennessee","133,001","124,854","113,998","5,623",431,"2,001",62,"2,739",2020
2518,"Wayne County, Tennessee","17,021","16,859","15,712",978,54,30,5,80,2010
2519,"Wayne County, Tennessee","16,232","15,767","14,595",888,23,27,3,231,2020
2519,"Weakley County, Tennessee","35,021","34,537","31,124","2,736",101,368,8,200,2010
2520,"Weakley County, Tennessee","32,902","31,351","28,113","2,609",70,195,3,361,2020
2520,"White County, Tennessee","25,841","25,477","24,739",459,82,69,20,108,2010
2521,"Williamson County, Tennessee","183,182","180,448","163,728","7,941",396,"5,517",82,"2,784",2010
2521,"White County, Tennessee","27,351","25,897","25,018",412,83,140,12,232,2020
2522,"Wilson County, Tennessee","113,993","112,142","101,379","7,297",395,"1,276",44,"1,751",2010
2522,"Williamson County, Tennessee","247,726","232,292","203,600","9,876",574,"12,953",117,"5,172",2020
2523,"Anderson County, Texas","58,458","57,465","38,632","12,310",259,291,21,"5,952",2010
2523,"Wilson County, Tennessee","147,737","138,551","120,782","10,191",601,"3,106",44,"3,827",2020
2524,"Anderson County, Texas","57,922","54,327","34,922","11,577",357,392,13,"7,066",2020
2524,"Andrews County, Texas","14,786","14,494","11,749",222,142,91,1,"2,289",2010
2525,"Andrews County, Texas","18,610","14,756","10,909",237,220,112,0,"3,278",2020
2525,"Angelina County, Texas","86,771","85,247","62,537","13,035",411,785,13,"8,466",2010
2526,"Aransas County, Texas","23,158","22,635","20,231",303,171,455,8,"1,467",2010
2526,"Angelina County, Texas","86,395","78,097","54,887","13,098",563,919,42,"8,588",2020
2527,"Archer County, Texas","9,054","8,920","8,504",40,60,18,3,295,2010
2527,"Aransas County, Texas","23,830","20,580","17,996",264,245,501,17,"1,557",2020
2528,"Archer County, Texas","8,560","8,011","7,551",32,108,19,0,301,2020
2528,"Armstrong County, Texas","1,901","1,880","1,774",11,15,0,0,80,2010
2529,"Atascosa County, Texas","44,911","43,895","38,130",359,341,156,30,"4,879",2010
2529,"Armstrong County, Texas","1,848","1,725","1,646",13,17,10,0,39,2020
2530,"Atascosa County, Texas","48,981","36,893","28,203",425,491,206,18,"7,550",2020
2530,"Austin County, Texas","28,417","27,793","22,379","2,668",138,118,1,"2,489",2010
2531,"Bailey County, Texas","7,165","7,023","5,392",86,103,30,6,"1,406",2010
2531,"Austin County, Texas","30,167","26,193","20,164","2,440",277,201,8,"3,103",2020
2532,"Bandera County, Texas","20,485","20,115","19,010",98,166,57,2,782,2010
2532,"Bailey County, Texas","6,904","5,553","3,348",65,86,11,0,"2,043",2020
2533,"Bandera County, Texas","20,851","18,339","17,110",110,157,97,15,850,2020
2533,"Bastrop County, Texas","74,171","72,022","54,750","5,772",739,489,66,"10,206",2010
2534,"Bastrop County, Texas","97,216","80,549","55,730","5,759","1,268",765,74,"16,953",2020
2534,"Baylor County, Texas","3,726","3,649","3,410",75,11,4,3,146,2010
2535,"Bee County, Texas","31,861","31,123","25,092","2,592",165,177,17,"3,080",2010
2535,"Baylor County, Texas","3,465","3,227","3,036",57,11,9,0,114,2020
2536,"Bee County, Texas","31,047","25,339","15,347","2,395",212,221,4,"7,160",2020
2536,"Bell County, Texas","310,235","294,761","190,553","66,700","2,496","8,748","2,430","23,834",2010
2537,"Bexar County, Texas","1,714,773","1,655,097","1,250,252","128,892","14,475","41,739","2,350","217,389",2010
2537,"Bell County, Texas","370,647","317,284","180,426","85,241","3,454","11,466","3,764","32,933",2020
2538,"Bexar County, Texas","2,009,324","1,484,783","919,729","161,307","23,193","68,675","3,549","308,330",2020
2538,"Blanco County, Texas","10,497","10,296","9,475",69,74,51,4,623,2010
2539,"Blanco County, Texas","11,374","10,210","9,255",72,87,44,7,745,2020
2539,"Borden County, Texas",641,631,600,0,2,1,0,28,2010
2540,"Borden County, Texas",631,589,576,1,1,0,0,11,2020
2540,"Bosque County, Texas","18,212","17,894","16,372",296,104,41,2,"1,079",2010
2541,"Bosque County, Texas","18,235","16,312","14,483",279,155,80,3,"1,312",2020
2541,"Bowie County, Texas","92,565","90,584","63,641","22,387",694,734,51,"3,077",2010
2542,"Bowie County, Texas","92,893","86,936","57,482","23,251",754,"1,094",84,"4,271",2020
2542,"Brazoria County, Texas","313,166","304,919","219,416","37,761","1,770","17,227",89,"28,656",2010
2543,"Brazos County, Texas","194,851","190,292","142,814","21,414",865,"10,083",119,"14,997",2010
2543,"Brazoria County, Texas","372,031","316,898","190,232","55,176","2,739","26,592",183,"41,976",2020
2544,"Brewster County, Texas","9,232","8,970","7,993",104,103,66,5,699,2010
2544,"Brazos County, Texas","233,849","204,686","140,206","24,341","1,618","14,763",233,"23,525",2020
2545,"Briscoe County, Texas","1,637","1,597","1,433",41,3,0,0,120,2010
2545,"Brewster County, Texas","9,546","7,647","6,411",198,140,94,11,793,2020
2546,"Briscoe County, Texas","1,435","1,341","1,175",18,7,0,0,141,2020
2546,"Brooks County, Texas","7,223","7,125","6,471",37,25,21,1,570,2010
2547,"Brown County, Texas","38,106","37,306","32,962","1,382",216,163,14,"2,569",2010
2547,"Brooks County, Texas","7,076","3,761","2,914",25,22,29,1,770,2020
2548,"Brown County, Texas","38,095","34,122","29,326","1,462",232,274,27,"2,801",2020
2548,"Burleson County, Texas","17,187","16,861","13,392","2,098",107,28,3,"1,233",2010
2549,"Burleson County, Texas","17,642","15,573","12,152","1,908",138,71,0,"1,304",2020
2549,"Burnet County, Texas","42,750","41,956","37,825",766,290,203,17,"2,855",2010
2550,"Burnet County, Texas","49,130","43,572","37,845",643,373,428,15,"4,268",2020
2550,"Caldwell County, Texas","38,066","37,100","28,865","2,585",305,357,13,"4,975",2010
2551,"Caldwell County, Texas","45,883","36,545","23,633","2,440",499,238,27,"9,708",2020
2551,"Calhoun County, Texas","21,381","20,940","17,432",565,104,948,8,"1,883",2010
2552,"Calhoun County, Texas","20,106","15,452","11,356",426,116,"1,115",4,"2,435",2020
2552,"Callahan County, Texas","13,544","13,297","12,724",141,75,57,8,292,2010
2553,"Callahan County, Texas","13,708","12,779","12,154",133,80,53,7,352,2020
2553,"Cameron County, Texas","406,220","399,973","353,423","2,155","1,688","2,689",113,"39,905",2010
2554,"Cameron County, Texas","421,017","250,754","162,707","2,076","2,883","2,806",149,"80,133",2020
2554,"Camp County, Texas","12,401","12,061","8,402","2,163",82,60,17,"1,337",2010
2555,"Camp County, Texas","12,464","11,185","7,448","1,898",63,108,8,"1,660",2020
2555,"Carson County, Texas","6,182","6,077","5,803",35,67,19,0,153,2010
2556,"Cass County, Texas","30,464","30,040","24,079","5,315",161,91,4,390,2010
2556,"Carson County, Texas","5,807","5,310","5,069",20,54,22,8,137,2020
2557,"Castro County, Texas","8,062","7,932","5,532",162,76,33,0,"2,129",2010
2557,"Cass County, Texas","28,454","26,911","21,477","4,541",194,120,10,569,2020
2558,"Chambers County, Texas","35,096","34,353","27,582","2,872",219,339,21,"3,320",2010
2558,"Castro County, Texas","7,371","5,400","3,676",108,58,22,4,"1,532",2020
2559,"Cherokee County, Texas","50,845","49,743","36,450","7,498",342,237,9,"5,207",2010
2559,"Chambers County, Texas","46,571","41,158","32,614","3,227",337,640,1,"4,339",2020
2560,"Childress County, Texas","7,041","6,940","5,774",698,40,50,2,376,2010
2560,"Cherokee County, Texas","50,412","45,529","32,134","6,426",464,263,18,"6,224",2020
2561,"Clay County, Texas","10,752","10,571","10,224",57,123,28,1,138,2010
2561,"Childress County, Texas","6,664","6,048","4,427",582,29,51,2,957,2020
2562,"Cochran County, Texas","3,127","3,043","2,288",125,36,5,3,586,2010
2562,"Clay County, Texas","10,218","9,554","9,178",39,94,50,0,193,2020
2563,"Coke County, Texas","3,320","3,256","3,036",8,37,5,1,169,2010
2563,"Cochran County, Texas","2,547","2,114","1,448",71,11,4,0,580,2020
2564,"Coke County, Texas","3,285","2,939","2,721",7,30,1,6,174,2020
2564,"Coleman County, Texas","8,895","8,722","7,841",197,58,32,1,593,2010
2565,"Coleman County, Texas","7,684","7,164","6,582",151,65,32,0,334,2020
2565,"Collin County, Texas","782,341","759,158","560,036","66,387","4,448","87,752",448,"40,087",2010
2566,"Collin County, Texas","1,064,465","946,270","578,412","110,284","7,490","189,209",719,"60,156",2020
2566,"Collingsworth County, Texas","3,057","2,933","2,338",134,52,4,0,405,2010
2567,"Collingsworth County, Texas","2,652","2,365","1,928",121,37,9,1,269,2020
2567,"Colorado County, Texas","20,874","20,480","15,676","2,740",125,77,16,"1,846",2010
2568,"Colorado County, Texas","20,557","18,246","13,169","2,335",100,83,0,"2,559",2020
2568,"Comal County, Texas","108,472","106,124","97,044","1,727",645,849,51,"5,808",2010
2569,"Comal County, Texas","161,501","135,471","118,292","3,880","1,135","1,974",167,"10,023",2020
2569,"Comanche County, Texas","13,974","13,744","12,417",53,92,35,4,"1,143",2010
2570,"Comanche County, Texas","13,594","11,921","10,295",48,116,38,3,"1,421",2020
2570,"Concho County, Texas","4,087","4,010","3,553",77,16,14,5,345,2010
2571,"Concho County, Texas","3,303","2,984","2,518",82,19,23,1,341,2020
2571,"Cooke County, Texas","38,437","37,609","32,943","1,054",402,290,19,"2,901",2010
2572,"Cooke County, Texas","41,668","36,936","31,641","1,233",550,314,20,"3,178",2020
2572,"Coryell County, Texas","75,388","71,581","53,033","11,943",639,"1,423",662,"3,881",2010
2573,"Coryell County, Texas","83,093","73,013","50,529","12,356",672,"1,910","1,093","6,453",2020
2573,"Cottle County, Texas","1,505","1,474","1,212",133,5,0,1,123,2010
2574,"Cottle County, Texas","1,380","1,251","1,027",96,5,0,2,121,2020
2574,"Crane County, Texas","4,375","4,275","3,243",125,44,16,0,847,2010
2575,"Crane County, Texas","4,675","3,537","2,488",77,36,22,0,914,2020
2575,"Crockett County, Texas","3,719","3,655","3,092",30,34,13,3,483,2010
2576,"Crockett County, Texas","3,098","2,392","1,882",18,30,10,1,451,2020
2576,"Crosby County, Texas","6,059","5,936","4,784",209,35,6,4,898,2010
2577,"Crosby County, Texas","5,133","4,344","3,257",151,42,12,1,881,2020
2577,"Culberson County, Texas","2,398","2,331","1,892",15,31,24,0,369,2010
2578,"Culberson County, Texas","2,188","1,597","1,014",21,25,28,0,509,2020
2578,"Dallam County, Texas","6,703","6,456","5,371",84,83,41,6,871,2010
2579,"Dallam County, Texas","7,115","5,423","3,879",76,121,13,3,"1,331",2020
2579,"Dallas County, Texas","2,368,139","2,301,276","1,267,861","528,200","17,133","119,250","1,222","367,610",2010
2580,"Dallas County, Texas","2,613,539","2,192,419","924,283","574,183","31,453","183,124","1,716","477,660",2020
2580,"Dawson County, Texas","13,833","13,520","10,606",905,99,49,7,"1,854",2010
2581,"Dawson County, Texas","12,456","10,488","7,609",899,100,56,4,"1,820",2020
2581,"Deaf Smith County, Texas","19,372","18,908","15,075",242,176,61,2,"3,352",2010
2582,"Deaf Smith County, Texas","18,583","13,993","9,054",174,196,63,3,"4,503",2020
2582,"Delta County, Texas","5,231","5,084","4,461",380,72,30,0,141,2010
2583,"Delta County, Texas","5,230","4,865","4,317",312,48,37,5,146,2020
2583,"Denton County, Texas","662,614","643,201","497,260","55,534","4,551","43,478",462,"41,916",2010
2584,"Denton County, Texas","906,422","790,322","526,363","97,847","7,472","93,463",754,"64,423",2020
2584,"DeWitt County, Texas","20,097","19,628","15,206","1,876",88,44,0,"2,414",2010
2585,"DeWitt County, Texas","19,824","17,681","13,313","1,673",114,70,7,"2,504",2020
2585,"Dickens County, Texas","2,444","2,403","2,052",99,38,22,0,192,2010
2586,"Dickens County, Texas","1,770","1,572","1,363",30,12,2,2,163,2020
2586,"Dimmit County, Texas","9,996","9,834","8,860",99,34,56,0,785,2010
2587,"Dimmit County, Texas","8,615","5,610","3,852",89,54,71,13,"1,531",2020
2587,"Donley County, Texas","3,677","3,611","3,307",164,18,9,2,111,2010
2588,"Donley County, Texas","3,258","2,982","2,648",172,31,10,1,120,2020
2588,"Duval County, Texas","11,782","11,581","10,247",110,45,22,5,"1,152",2010
2589,"Duval County, Texas","9,831","6,481","4,994",160,52,45,0,"1,230",2020
2589,"Eastland County, Texas","18,583","18,289","16,697",335,124,62,9,"1,062",2010
2590,"Eastland County, Texas","17,725","16,266","14,677",356,150,104,16,963,2020
2590,"Ector County, Texas","137,130","133,728","104,653","6,141","1,351","1,080",119,"20,384",2010
2591,"Ector County, Texas","165,171","126,571","79,965","8,031","1,657","2,339",356,"34,223",2020
2591,"Edwards County, Texas","2,002","1,980","1,739",11,26,7,0,197,2010
2592,"Edwards County, Texas","1,422","1,099",961,2,9,11,1,115,2020
2592,"Ellis County, Texas","149,610","146,327","117,662","13,482",893,851,95,"13,344",2010
2593,"Ellis County, Texas","192,455","166,796","118,993","24,305","1,688","1,582",218,"20,010",2020
2593,"El Paso County, Texas","800,647","780,943","656,993","24,864","6,007","8,284",999,"83,796",2010
2594,"Erath County, Texas","37,890","37,249","32,441",451,291,257,13,"3,796",2010
2594,"El Paso County, Texas","865,657","555,390","313,741","29,054","10,337","12,073","1,885","188,300",2020
2595,"Falls County, Texas","17,866","17,523","10,832","4,524",101,46,10,"2,010",2010
2595,"Erath County, Texas","42,545","38,356","32,674","1,247",416,353,14,"3,652",2020
2596,"Fannin County, Texas","33,915","33,213","29,172","2,312",369,125,7,"1,228",2010
2596,"Falls County, Texas","16,968","15,621","9,870","3,792",114,56,8,"1,781",2020
2597,"Fannin County, Texas","35,662","33,049","28,249","2,217",417,152,25,"1,989",2020
2597,"Fayette County, Texas","24,554","24,222","20,491","1,632",177,66,7,"1,849",2010
2598,"Fayette County, Texas","24,435","21,922","18,286","1,462",174,71,6,"1,923",2020
2598,"Fisher County, Texas","3,974","3,894","3,444",136,20,8,0,286,2010
2599,"Fisher County, Texas","3,672","3,328","2,921",107,30,14,2,254,2020
2599,"Floyd County, Texas","6,446","6,370","4,916",232,47,11,1,"1,163",2010
2600,"Floyd County, Texas","5,402","3,949","3,101",158,15,12,5,658,2020
2600,"Foard County, Texas","1,336","1,326","1,211",53,3,5,0,54,2010
2601,"Foard County, Texas","1,095","1,030",924,19,0,5,1,81,2020
2601,"Fort Bend County, Texas","585,375","568,354","296,310","125,818","2,302","99,370",226,"44,328",2010
2602,"Fort Bend County, Texas","822,779","715,862","282,222","170,978","4,574","182,537",371,"75,180",2020
2602,"Franklin County, Texas","10,605","10,415","9,178",417,72,50,2,696,2010
2603,"Freestone County, Texas","19,816","19,494","14,484","3,193",140,58,5,"1,614",2010
2603,"Franklin County, Texas","10,359","9,396","8,138",399,77,68,6,708,2020
2604,"Freestone County, Texas","19,435","18,238","13,337","2,765",146,73,14,"1,903",2020
2604,"Frio County, Texas","17,217","16,881","13,326",584,85,367,1,"2,518",2010
2605,"Frio County, Texas","18,385","14,595","8,518",719,130,199,9,"5,020",2020
2605,"Gaines County, Texas","17,526","17,173","14,726",305,102,44,0,"1,996",2010
2606,"Gaines County, Texas","21,598","17,834","15,175",282,112,75,10,"2,180",2020
2606,"Galveston County, Texas","291,309","283,418","211,088","40,112","1,748","8,690",149,"21,631",2010
2607,"Garza County, Texas","6,461","6,386","5,348",420,36,8,3,571,2010
2607,"Galveston County, Texas","350,682","303,576","214,512","44,229","2,703","12,482",296,"29,354",2020
2608,"Garza County, Texas","5,816","5,360","4,325",297,32,28,0,678,2020
2608,"Gillespie County, Texas","24,837","24,530","22,667",89,154,89,11,"1,520",2010
2609,"Gillespie County, Texas","26,725","23,364","21,373",110,165,131,1,"1,584",2020
2609,"Glasscock County, Texas","1,226","1,211","1,044",15,4,1,2,145,2010
2610,"Goliad County, Texas","7,210","7,040","6,035",343,50,15,2,595,2010
2610,"Glasscock County, Texas","1,116",966,858,8,7,0,3,90,2020
2611,"Goliad County, Texas","7,012","5,987","5,127",276,31,28,0,525,2020
2611,"Gonzales County, Texas","19,807","19,373","14,158","1,468",190,78,5,"3,474",2010
2612,"Gonzales County, Texas","19,653","16,388","11,341","1,186",156,67,10,"3,628",2020
2612,"Gray County, Texas","22,535","21,990","18,363","1,097",200,91,1,"2,238",2010
2613,"Gray County, Texas","21,227","18,500","14,631",868,205,128,0,"2,668",2020
2613,"Grayson County, Texas","120,877","117,635","101,371","7,081","1,835","1,046",41,"6,261",2010
2614,"Grayson County, Texas","135,543","121,410","99,852","7,663","2,387","1,990",83,"9,435",2020
2614,"Gregg County, Texas","121,730","118,988","81,928","24,390",728,"1,343",56,"10,543",2010
2615,"Grimes County, Texas","26,604","26,028","19,409","4,390",139,63,7,"2,020",2010
2615,"Gregg County, Texas","124,239","112,514","73,043","25,262",818,"1,639",55,"11,697",2020
2616,"Guadalupe County, Texas","131,533","127,526","105,017","8,512",897,"1,861",186,"11,053",2010
2616,"Grimes County, Texas","29,268","26,090","18,591","3,915",242,104,15,"3,223",2020
2617,"Hale County, Texas","36,273","35,205","25,670","1,925",350,142,21,"7,097",2010
2617,"Guadalupe County, Texas","172,706","139,176","103,127","12,805","1,384","3,281",419,"18,160",2020
2618,"Hall County, Texas","3,353","3,301","2,579",242,26,3,2,449,2010
2618,"Hale County, Texas","32,522","26,268","16,925","1,496",304,164,32,"7,347",2020
2619,"Hall County, Texas","2,825","2,497","1,896",204,14,9,0,374,2020
2619,"Hamilton County, Texas","8,517","8,428","7,913",46,68,34,1,366,2010
2620,"Hansford County, Texas","5,613","5,486","4,593",36,52,16,0,789,2010
2620,"Hamilton County, Texas","8,222","7,600","7,138",32,49,38,2,341,2020
2621,"Hansford County, Texas","5,285","4,581","3,248",15,33,10,3,"1,272",2020
2621,"Hardeman County, Texas","4,139","4,033","3,538",246,26,12,0,211,2010
2622,"Hardin County, Texas","54,635","53,917","49,505","3,193",217,276,6,720,2010
2622,"Hardeman County, Texas","3,549","3,246","2,748",143,18,18,6,313,2020
2623,"Harris County, Texas","4,092,459","3,961,127","2,318,256","775,492","27,763","253,032","3,018","583,566",2010
2623,"Hardin County, Texas","56,231","52,815","48,005","3,072",259,411,35,"1,033",2020
2624,"Harris County, Texas","4,731,145","3,930,990","1,720,356","907,063","55,011","349,268","4,141","895,151",2020
2624,"Harrison County, Texas","65,631","64,512","45,020","14,398",447,339,31,"4,277",2010
2625,"Hartley County, Texas","6,062","5,994","5,272",418,22,29,3,250,2010
2625,"Harrison County, Texas","68,839","63,843","43,925","13,582",715,491,41,"5,089",2020
2626,"Haskell County, Texas","5,899","5,745","4,876",220,39,31,0,579,2010
2626,"Hartley County, Texas","5,382","4,840","3,746",197,30,24,5,838,2020
2627,"Hays County, Texas","157,107","152,662","126,712","5,536","1,224","1,821",137,"17,232",2010
2627,"Haskell County, Texas","5,416","4,950","4,132",205,44,28,5,536,2020
2628,"Hemphill County, Texas","3,807","3,738","3,310",9,15,18,3,383,2010
2628,"Hays County, Texas","241,067","192,699","147,092","9,881","2,175","5,091",189,"28,271",2020
2629,"Henderson County, Texas","78,532","77,106","67,395","4,887",433,328,32,"4,031",2010
2629,"Hemphill County, Texas","3,382","2,916","2,372",5,29,11,0,499,2020
2630,"Hidalgo County, Texas","774,769 (r48754)","764,507","681,649","4,569","2,589","7,478",94,"68,128",2010
2630,"Henderson County, Texas","82,150","75,317","64,501","4,790",675,526,31,"4,794",2020
2631,"Hill County, Texas","35,089","34,378","29,307","2,224",175,118,20,"2,534",2010
2631,"Hidalgo County, Texas","870,781","517,653","300,554","4,748","6,155","9,048",175,"196,973",2020
2632,"Hill County, Texas","35,874","32,158","26,070","2,111",368,189,20,"3,400",2020
2632,"Hockley County, Texas","22,935","22,372","18,000",837,207,63,4,"3,261",2010
2633,"Hood County, Texas","51,182","50,434","47,378",252,359,303,39,"2,103",2010
2633,"Hockley County, Texas","21,537","17,903","13,760",645,227,52,4,"3,215",2020
2634,"Hopkins County, Texas","35,161","34,456","28,646","2,483",211,175,26,"2,915",2010
2634,"Hood County, Texas","61,598","56,051","51,678",523,501,476,53,"2,820",2020
2635,"Hopkins County, Texas","36,787","33,621","27,514","2,405",321,290,12,"3,079",2020
2635,"Houston County, Texas","23,732","23,393","15,896","6,179",95,95,1,"1,127",2010
2636,"Howard County, Texas","35,012","34,291","25,928","2,181",317,267,15,"5,583",2010
2636,"Houston County, Texas","22,066","20,843","13,430","5,195",131,138,10,"1,939",2020
2637,"Howard County, Texas","34,860","29,990","23,664","1,721",404,407,24,"3,770",2020
2637,"Hudspeth County, Texas","3,476","3,401","2,738",48,38,16,0,561,2010
2638,"Hunt County, Texas","86,129","84,100","70,248","7,133",804,916,147,"4,852",2010
2638,"Hudspeth County, Texas","3,202","2,561","1,874",16,39,10,0,622,2020
2639,"Hutchinson County, Texas","22,150","21,544","18,944",558,364,91,5,"1,582",2010
2639,"Hunt County, Texas","99,956","88,424","70,576","8,014","1,263","1,016",157,"7,398",2020
2640,"Irion County, Texas","1,599","1,565","1,464",11,7,3,0,80,2010
2640,"Hutchinson County, Texas","20,617","18,298","15,269",469,391,111,2,"2,056",2020
2641,"Jack County, Texas","9,044","8,949","7,913",340,62,31,3,600,2010
2641,"Irion County, Texas","1,513","1,350","1,200",7,16,0,1,126,2020
2642,"Jackson County, Texas","14,075","13,779","11,446",988,57,50,1,"1,237",2010
2642,"Jack County, Texas","8,472","7,869","6,663",311,70,41,5,779,2020
2643,"Jackson County, Texas","14,988","12,894","9,782","1,011",80,158,5,"1,858",2020
2643,"Jasper County, Texas","35,710","35,174","27,738","5,959",197,200,14,"1,066",2010
2644,"Jeff Davis County, Texas","2,342","2,294","2,113",23,15,7,1,135,2010
2644,"Jasper County, Texas","32,980","31,407","24,327","5,594",182,127,19,"1,158",2020
2645,"Jefferson County, Texas","252,273","247,312","131,574","85,291","1,381","8,630",83,"20,353",2010
2645,"Jeff Davis County, Texas","1,996","1,664","1,467",1,26,15,2,153,2020
2646,"Jim Hogg County, Texas","5,300","5,219","4,658",22,20,15,0,504,2010
2646,"Jefferson County, Texas","256,526","234,053","108,905","84,835","1,787","10,080",112,"28,334",2020
2647,"Jim Wells County, Texas","40,838","40,179","35,620",237,270,151,9,"3,892",2010
2647,"Jim Hogg County, Texas","4,838","3,064","2,333",5,31,26,5,664,2020
2648,"Johnson County, Texas","150,934","147,723","131,622","3,979","1,078",982,493,"9,569",2010
2648,"Jim Wells County, Texas","38,891","27,863","22,187",265,264,158,16,"4,973",2020
2649,"Jones County, Texas","20,202","19,852","14,375","2,344",117,79,1,"2,936",2010
2649,"Johnson County, Texas","179,927","157,718","129,863","6,770","1,719","1,812",949,"16,605",2020
2650,"Karnes County, Texas","14,824","14,624","10,408","1,377",71,32,2,"2,734",2010
2650,"Jones County, Texas","19,663","18,141","12,902","2,024",120,114,7,"2,974",2020
2651,"Kaufman County, Texas","103,350","100,993","81,776","10,730",742,903,33,"6,809",2010
2651,"Karnes County, Texas","14,710","12,091","8,215","1,174",87,151,4,"2,460",2020
2652,"Kendall County, Texas","33,410","32,766","30,299",167,186,209,17,"1,888",2010
2652,"Kaufman County, Texas","145,310","126,404","87,435","21,948","1,413","2,174",82,"13,352",2020
2653,"Kenedy County, Texas",416,404,364,5,6,1,0,28,2010
2653,"Kendall County, Texas","44,279","38,018","34,449",347,289,379,39,"2,515",2020
2654,"Kent County, Texas",808,797,753,8,7,0,0,29,2010
2654,"Kenedy County, Texas",350,223,137,1,7,0,1,77,2020
2655,"Kerr County, Texas","49,625","48,566","43,505",884,355,373,30,"3,419",2010
2655,"Kent County, Texas",753,716,676,2,6,1,0,31,2020
2656,"Kimble County, Texas","4,607","4,568","4,216",18,38,19,3,274,2010
2656,"Kerr County, Texas","52,598","45,281","39,702",789,338,606,50,"3,796",2020
2657,"King County, Texas",286,282,268,0,3,0,0,11,2010
2657,"Kimble County, Texas","4,286","3,937","3,533",8,30,34,3,329,2020
